ID,Park,Word_count,Sentiment_value,Polarity,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
335,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
336,AENP,1,0,Neutral,0,0,0,0,0,0,0,0
337,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
338,TMNP,3,1,Positive,0,1,0,0,0,0,0,0
339,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
340,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
341,TMNP,4,1,Positive,0,1,0,0,1,0,1,1
342,AENP,3,0,Neutral,0,0,0,0,0,0,0,0
343,KNP,2,0,Neutral,0,0,0,0,0,0,0,0
344,KNP,13,2,Positive,0,1,0,0,2,0,0,0
345,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
346,KNP,13,0,Neutral,0,0,0,0,0,0,0,0
347,KNP,12,1,Positive,0,0,0,0,0,0,0,1
348,KNP,7,0,Neutral,0,0,0,0,0,0,0,0
349,KNP,8,0,Neutral,0,0,0,0,0,0,0,0
350,KNP,0,0,Neutral,0,0,0,0,0,0,0,0
351,KNP,10,0,Neutral,0,0,1,0,0,0,0,0
352,KNP,9,-1,Negative,0,0,0,1,0,1,0,0
353,KNP,12,1,Positive,0,0,0,1,0,0,0,0
354,KNP,5,1,Positive,0,0,0,0,0,0,0,0
355,KNP,5,-2,Negative,0,0,0,0,0,2,0,0
356,KNP,1,0,Neutral,0,0,0,0,0,0,0,0
357,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
358,KNP,2,2,Positive,0,0,0,0,1,0,0,0
359,KNP,10,0,Neutral,0,0,0,0,0,0,0,0
360,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
361,KNP,7,1,Positive,0,0,0,0,1,0,0,0
362,KNP,2,-1,Negative,0,0,0,1,0,1,0,0
363,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
364,KNP,2,0,Neutral,0,0,0,0,0,0,0,0
365,KNP,1,0,Neutral,0,0,0,0,0,0,0,0
366,KNP,4,0,Neutral,0,0,0,0,0,1,0,0
367,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
368,KNP,2,0,Neutral,0,0,0,0,0,0,0,0
369,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
370,KNP,12,1,Positive,0,0,0,1,0,0,0,0
371,KNP,6,0,Neutral,0,0,0,0,0,0,0,0
372,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
373,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
374,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
375,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
376,KNP,2,0,Neutral,0,0,0,0,0,0,0,0
377,KNP,5,1,Positive,0,1,0,0,0,0,0,0
378,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
379,KNP,38,0,Neutral,1,3,0,0,2,0,1,2
380,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
381,KNP,26,1,Positive,0,0,0,0,1,0,0,0
382,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
383,TMNP,5,1,Positive,0,1,0,0,1,0,1,1
384,TMNP,9,0,Neutral,0,0,0,0,0,0,0,0
385,TMNP,4,0,Neutral,0,0,0,0,0,0,0,0
